"---------------------------------------------------"
"UCAS Analysis and Insights - Daily Domicile Report"
"---------------------------------------------------"
"This data file should be used in conjunction with ..."
"File: filename"
"Cycle: 2018"
"Reporting coverage: 6 Sep 2017 - 18 Feb 18"
"Applicant coverage: 18 year old applicants"
"Analysis class: Domicile"
"---------------------------------------------------"
The 'Days to Deadline' variable Lorem ipsum dolor sit amet, consectetur adipiscing elit,
The ' 7-Day Moving Average' variable sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.
Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Data lines are comma delimited.
Data follows - 9999 lines in total
---------------------------------------------------
Cycle,Date,Day_of_the_week,Day,Month,Year,Domicile_Group,New_apps,7-Day Moving Ave,Days to Deadline,Working Days to Deadline,Days Since Cycle Opened,Bank Holiday
2018,01Oct2017,Sunday,1,10,2017,3.EU,536,5133,6062,412,6710,0
2018,29Jun2017,Thursday,29,6,2017,3.EU,693,3695,6279,218,180,0
2018,30Oct2017,Monday,30,10,2017,2.UK,8007,1821,1151,1094,344,0
2018,19Dec2017,Tuesday,19,12,2017,1.ALL,1969,8016,6023,4915,260,0
2018,27Nov2017,Monday,27,11,2017,2.UK,1720,6899,9785,5543,5534,1
2018,06Feb2017,Monday,6,2,2017,4.OV,2467,4207,1945,4619,5381,1
2018,11Apr2017,Tuesday,11,4,2017,1.ALL,1361,1674,3366,9409,6652,1
2018,28Feb2017,Tuesday,28,2,2017,4.OV,4337,4265,4699,2402,3955,1
2018,07Oct2017,Saturday,7,10,2017,1.ALL,1568,6897,7207,3089,891,0
2018,12Feb2017,Sunday,12,2,2017,2.UK,1053,7049,9858,6439,7312,0
2018,11Mar2017,Saturday,11,3,2017,4.OV,27,8083,2358,5247,4073,1
2018,14Jun2017,Wednesday,14,6,2017,4.OV,6277,9089,1585,6501,9818,0
2018,27Jun2017,Tuesday,27,6,2017,4.OV,4610,249,8446,4833,2753,0
2018,03Jul2017,Monday,3,7,2017,3.EU,7342,649,5497,8296,9803,1
2018,04Nov2017,Saturday,4,11,2017,1.ALL,6234,7400,5024,6483,3364,0
2018,23Jun2017,Friday,23,6,2017,1.ALL,6884,8455,5074,4047,9452,1
2018,22Feb2017,Wednesday,22,2,2017,3.EU,8997,2493,2097,8638,5488,1
2018,10Jul2017,Monday,10,7,2017,1.ALL,9106,9864,3931,2330,8051,1
2018,13Nov2017,Monday,13,11,2017,1.ALL,3911,9775,8672,606,3953,1
2018,12Aug2017,Saturday,12,8,2017,2.UK,5931,2107,7344,8429,8028,0
2018,31Jan2017,Tuesday,31,1,2017,3.EU,7201,9944,7486,1892,5588,1
2018,28Jun2017,Wednesday,28,6,2017,2.UK,5640,1321,2099,6967,3644,0
2018,10Aug2017,Thursday,10,8,2017,2.UK,3129,9861,9286,2165,3444,1
2018,09Oct2017,Monday,9,10,2017,4.OV,4305,1752,2720,8597,9106,1
2018,28May2017,Sunday,28,5,2017,1.ALL,3824,9550,16,1979,7219,1
2018,03Jun2017,Saturday,3,6,2017,2.UK,7767,3722,6770,8306,4963,1
2018,08Dec2017,Friday,8,12,2017,3.EU,3329,5941,3258,4270,8288,0
2018,30Jun2017,Friday,30,6,2017,2.UK,5028,8757,324,4151,8500,0
2018,01Sep2017,Friday,1,9,2017,2.UK,1054,1393,6756,5842,4148,0
2018,16Dec2017,Saturday,16,12,2017,3.EU,3379,3194,4812,889,7089,0
2018,17Jan2017,Tuesday,17,1,2017,4.OV,8721,8008,964,7596,1610,0
2018,14May2017,Sunday,14,5,2017,1.ALL,556,3073,6872,6211,1165,1
2018,11Sep2017,Monday,11,9,2017,4.OV,8068,692,2622,5215,4248,1
2018,19Jun2017,Monday,19,6,2017,4.OV,4363,6821,1697,2328,1289,0
2018,31Jul2017,Monday,31,7,2017,2.UK,1233,1026,5121,7167,1517,1
2018,13Feb2017,Monday,13,2,2017,3.EU,1099,8507,8409,7588,6267,1
2018,25Jun2017,Sunday,25,6,2017,3.EU,1139,1017,5134,1100,2300,1
2018,29Aug2017,Tuesday,29,8,2017,1.ALL,4953,1025,7273,7718,565,0
2018,03Aug2017,Thursday,3,8,2017,1.ALL,7824,6687,1133,6510,7559,1
2018,29Jan2017,Sunday,29,1,2017,2.UK,1463,5298,5193,1413,1622,0
2018,05Feb2017,Sunday,5,2,2017,1.ALL,3832,2036,7116,6313,7967,1
2018,08Nov2017,Wednesday,8,11,2017,1.ALL,3378,6873,9152,3668,1305,1
2018,07Sep2017,Thursday,7,9,2017,3.EU,4276,6659,2670,8354,912,0
