"---------------------------------------------------"
"UCAS Analysis and Insights - Daily Domicile Report"
"---------------------------------------------------"
"This data file should be used in conjunction with ..."
"File: filename"
"Cycle: 2018"
"Reporting coverage: 6 Sep 2017 - 18 Feb 18"
"Applicant coverage: 18 year old applicants"
"Analysis class: Domicile"
"---------------------------------------------------"
The 'Days to Deadline' variable Lorem ipsum dolor sit amet, consectetur adipiscing elit,
The ' 7-Day Moving Average' variable sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.
Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.
Data lines are comma delimited.
Data follows - 9999 lines in total
---------------------------------------------------
Cycle,Date,Day_of_the_week,Day,Month,Year,Domicile_Group,New_apps,7-Day Moving Ave,Days to Deadline,Working Days to Deadline,Days Since Cycle Opened,Bank Holiday
2018,20Mar2017,Monday,20,3,2017,4.OV,7125,9979,3758,1762,7567,0
2018,27Sep2017,Wednesday,27,9,2017,4.OV,456,8254,1913,1079,1581,0
2018,24Dec2017,Sunday,24,12,2017,2.UK,4674,1360,4452,943,7918,1
2018,05Oct2017,Thursday,5,10,2017,3.EU,1941,7896,3436,1005,9036,1
2018,15Apr2017,Saturday,15,4,2017,1.ALL,2514,2116,6231,1816,5424,1
2018,21Mar2017,Tuesday,21,3,2017,1.ALL,8573,3238,5790,2032,6760,1
2018,18Nov2017,Saturday,18,11,2017,3.EU,6761,7955,1747,9903,3586,1
2018,01May2017,Monday,1,5,2017,4.OV,3007,5860,4233,4299,3000,1
2018,27Aug2017,Sunday,27,8,2017,4.OV,3553,1808,1217,8583,7172,0
2018,21Mar2017,Tuesday,21,3,2017,2.UK,2532,9889,7673,8601,9488,1
2018,16Aug2017,Wednesday,16,8,2017,4.OV,2943,8713,256,3192,3076,1
2018,23Aug2017,Wednesday,23,8,2017,1.ALL,7138,5679,5941,314,2134,0
2018,24Jun2017,Saturday,24,6,2017,2.UK,9704,8161,4734,62,7857,1
2018,24Jun2017,Saturday,24,6,2017,2.UK,3456,1669,2510,1829,1452,0
2018,12Mar2017,Sunday,12,3,2017,4.OV,5529,9638,6512,3927,6686,0
2018,14Nov2017,Tuesday,14,11,2017,3.EU,5494,9420,2099,3780,88,0
2018,20Jul2017,Thursday,20,7,2017,4.OV,2895,9954,624,8823,7610,0
2018,24Mar2017,Friday,24,3,2017,2.UK,9858,9375,6699,8327,3967,1
2018,25Jun2017,Sunday,25,6,2017,3.EU,9251,2204,1096,7169,2364,1
2018,20May2017,Saturday,20,5,2017,1.ALL,9607,2749,437,6610,6711,1
2018,26Apr2017,Wednesday,26,4,2017,1.ALL,2665,325,147,4191,2749,0
2018,25Nov2017,Saturday,25,11,2017,1.ALL,8484,3429,6223,7428,4680,0
2018,18Feb2017,Saturday,18,2,2017,1.ALL,5407,9846,9695,5970,3744,0
2018,03Apr2017,Monday,3,4,2017,3.EU,3797,2835,1102,637,1066,0
2018,18Oct2017,Wednesday,18,10,2017,4.OV,4647,6214,6935,6117,7887,0
2018,09Feb2017,Thursday,9,2,2017,3.EU,5368,8544,6227,4778,2726,0
2018,10Jun2017,Saturday,10,6,2017,3.EU,3572,5331,7278,2681,9452,1
2018,11Oct2017,Wednesday,11,10,2017,4.OV,3200,923,3584,4669,8749,1
2018,26Nov2017,Sunday,26,11,2017,1.ALL,6013,5981,1652,3081,6854,1
2018,30Dec2017,Saturday,30,12,2017,2.UK,5682,3875,4593,426,4522,0
2018,09Oct2017,Monday,9,10,2017,1.ALL,8194,2732,8600,7733,8058,1
2018,30Oct2017,Monday,30,10,2017,4.OV,9753,791,4388,3885,4936,0
2018,07Feb2017,Tuesday,7,2,2017,4.OV,5504,4191,7997,2061,25,1
2018,09Apr2017,Sunday,9,4,2017,2.UK,2500,1993,5335,1671,2548,0
2018,26Aug2017,Saturday,26,8,2017,2.UK,7811,1830,9203,2131,8457,0
2018,13Mar2017,Monday,13,3,2017,2.UK,7683,3275,1652,5705,3226,0
2018,21Sep2017,Thursday,21,9,2017,2.UK,5952,6522,5467,5397,4596,0
2018,19Jul2017,Wednesday,19,7,2017,2.UK,8661,8251,911,7658,2367,1
2018,17Feb2017,Friday,17,2,2017,4.OV,923,9970,2388,9628,6752,0
2018,14Jul2017,Friday,14,7,2017,3.EU,3767,5255,8664,6684,5576,0
2018,12Sep2017,Tuesday,12,9,2017,2.UK,6085,2033,2637,4681,5754,1
2018,10Nov2017,Friday,10,11,2017,1.ALL,3260,9977,7242,3625,6462,0
2018,03Jan2017,Tuesday,3,1,2017,2.UK,6346,5219,2405,9672,1281,1
2018,18Nov2017,Saturday,18,11,2017,3.EU,811,3827,7449,3947,5036,0
2018,12Sep2017,Tuesday,12,9,2017,3.EU,4594,4133,500,1868,5287,1
2018,21Jun2017,Wednesday,21,6,2017,3.EU,7910,8590,6900,9693,3811,1
2018,23Mar2017,Thursday,23,3,2017,3.EU,8233,5318,6081,7647,505,1
2018,11Mar2017,Saturday,11,3,2017,2.UK,3288,7250,5829,5576,8636,1
2018,28Jul2017,Friday,28,7,2017,3.EU,3697,5947,4575,3560,8948,1
2018,24Jul2017,Monday,24,7,2017,3.EU,9639,699,3077,7435,2899,0
2018,15Jul2017,Saturday,15,7,2017,1.ALL,2548,8988,9614,7736,9894,1
2018,14Aug2017,Monday,14,8,2017,3.EU,4366,3588,1759,2183,4630,0
2018,11Aug2017,Friday,11,8,2017,1.ALL,454,1663,9440,3975,6285,0
2018,03Oct2017,Tuesday,3,10,2017,2.UK,4158,4557,3450,5375,4468,1
2018,28Jul2017,Friday,28,7,2017,2.UK,8607,2004,7355,5983,9801,1
2018,28Feb2017,Tuesday,28,2,2017,2.UK,3501,7320,932,1439,3605,0
2018,11Apr2017,Tuesday,11,4,2017,4.OV,7307,4146,3257,7699,136,1
2018,23Jul2017,Sunday,23,7,2017,2.UK,698,2939,7233,6626,4746,1
2018,12Dec2017,Tuesday,12,12,2017,4.OV,1078,3379,6978,5043,9165,0
2018,31Aug2017,Thursday,31,8,2017,1.ALL,5110,9042,4853,4449,4738,0
2018,12Dec2017,Tuesday,12,12,2017,4.OV,2715,9314,825,5252,618,1
